                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0906,                0.91661,                0.85527,                0.88256,                0.90527,                0.95519,                0.61312,                 1.2081,                 1.1184,                0.84799,             0.00073704,             0.00073704,             0.00073704
                     36,                 1.0745,                0.87767,                0.86669,                0.95143,                0.95256,                0.98277,                0.66589,                 1.1255,                 0.8664,                0.83676,             0.00072604,             0.00072604,             0.00072604
                     37,                 1.0762,                0.86782,                 0.8581,                0.91303,                0.95654,                0.98078,                0.66864,                 1.1058,                0.82712,                0.82917,             0.00071504,             0.00071504,             0.00071504
                     38,                 1.0795,                0.87259,                0.86541,                0.90769,                0.97235,                0.98025,                0.65789,                 1.1476,                0.82306,                 0.8332,             0.00070404,             0.00070404,             0.00070404
                     39,                  1.054,                0.83661,                0.86746,                0.92803,                0.96346,                0.98035,                 0.6503,                 1.1578,                0.81612,                0.83456,             0.00069304,             0.00069304,             0.00069304
                     40,                  1.106,                 0.8158,                0.87153,                0.93881,                 0.9619,                0.98031,                0.65732,                 1.1842,                0.83318,                0.83912,             0.00068204,             0.00068204,             0.00068204
                     41,                 1.1062,                0.85098,                0.86613,                0.95657,                  0.945,                0.98112,                0.67699,                 1.1289,                0.85018,                0.83531,             0.00067104,             0.00067104,             0.00067104
                     42,                 1.0992,                0.80148,                0.87277,                0.95542,                0.95536,                0.98594,                0.65728,                 1.1414,                0.80039,                0.83617,             0.00066005,             0.00066005,             0.00066005
                     43,                 1.0937,                0.76759,                0.86148,                0.95844,                 0.9695,                0.98925,                0.65802,                 1.1656,                0.77464,                0.83644,             0.00064905,             0.00064905,             0.00064905
                     44,                 1.0279,                0.76534,                0.85653,                0.97801,                0.97716,                0.99186,                0.68704,                 1.1007,                0.74728,                0.83275,             0.00063805,             0.00063805,             0.00063805
                     45,                 1.0558,                0.77131,                0.85542,                0.97231,                0.99236,                0.99369,                0.68773,                 1.0926,                0.72494,                0.83266,             0.00062705,             0.00062705,             0.00062705
                     46,                 1.0247,                 0.7253,                0.86453,                0.98489,                0.98891,                0.99429,                0.69205,                 1.0695,                0.70442,                0.83294,             0.00061605,             0.00061605,             0.00061605
                     47,                 1.0245,                0.72516,                0.85363,                0.97668,                0.98596,                0.99347,                0.66803,                 1.1341,                0.71076,                0.83859,             0.00060505,             0.00060505,             0.00060505
                     48,                 1.0791,                0.74419,                0.85945,                0.98056,                 0.9947,                0.99341,                0.67634,                 1.1187,                0.69418,                0.84003,             0.00059405,             0.00059405,             0.00059405
                     49,                 1.0099,                0.70489,                0.85826,                0.98354,                0.99441,                0.99409,                0.67629,                 1.1358,                0.68111,                0.84848,             0.00058305,             0.00058305,             0.00058305
                     50,                 1.0189,                0.68626,                0.86599,                0.97948,                0.98678,                0.99393,                0.67715,                 1.1379,                0.68422,                0.84794,             0.00057205,             0.00057205,             0.00057205
                     51,                 1.0212,                0.69897,                0.86778,                0.97952,                0.98256,                0.99416,                0.68069,                 1.1439,                0.68923,                0.84786,             0.00056105,             0.00056105,             0.00056105
                     52,                 1.0198,                 0.6779,                0.85074,                0.98702,                0.98548,                0.99463,                0.66512,                 1.1484,                0.67597,                0.84228,             0.00055006,             0.00055006,             0.00055006
                     53,                 1.0309,                0.67271,                0.85961,                 0.9883,                0.99201,                 0.9948,                0.69252,                 1.0738,                0.65121,                0.83015,             0.00053906,             0.00053906,             0.00053906
                     54,                  1.026,                0.68436,                0.86006,                0.98967,                0.99966,                0.99476,                0.69508,                 1.0857,                0.64167,                0.83359,             0.00052806,             0.00052806,             0.00052806
                     55,                 1.0197,                0.69272,                0.85978,                0.99441,                0.99211,                0.99494,                0.69658,                 1.0898,                0.64403,                0.84126,             0.00051706,             0.00051706,             0.00051706
                     56,                 1.0234,                0.66614,                0.85946,                0.99369,                0.99514,                0.99481,                0.68983,                 1.0935,                 0.6537,                0.83171,             0.00050606,             0.00050606,             0.00050606
                     57,                   1.04,                 0.6925,                0.86134,                0.99446,                0.99503,                 0.9949,                0.68683,                 1.0847,                0.63347,                0.82875,             0.00049506,             0.00049506,             0.00049506
